iso_origin;iso_dest;dist_eco;dist_capitale;dist_ponderee_pop
ABW;ABW;5.225315;5.225315;25.09354
ABW;AFG;13257.81;13257.81;13168.22
ABW;AGO;9516.913;9516.913;9587.316
ABW;AIA;983.2682;983.2682;976.8974
ABW;ALB;9091.742;9091.742;9091.576
ABW;AND;7572.788;7572.788;7570.084
ABW;ANT;136.3848;136.3848;239.9064
ABW;ARE;12735.01;12735.01;12773.08
ABW;ARG;5396.22;5396.22;5187.788
ABW;ARM;11107.78;11107.78;11106.96
ABW;ATG;1024.995;1024.995;1011.003
ABW;AUS;15237.5;15354.32;15670.46
ABW;AUT;8719.13;8719.13;8632.971
ABW;AZE;11503.0;11503.0;11421.98
ABW;BDI;11120.47;11120.47;11138.74
ABW;BEL;7847.07;7847.07;7843.255
ABW;BEN;7979.945;8006.697;7915.638
ABW;BFA;7414.016;7414.016;7348.568
ABW;BGD;15473.46;15473.46;15486.16
ABW;BGR;9348.039;9348.039;9471.462
ABW;BHR;12308.36;12308.36;12296.99
ABW;BHS;1588.515;1588.515;1634.515
ABW;BIH;8936.664;8936.664;8888.42
ABW;BLR;9382.626;9382.626;9417.683
ABW;BLZ;2076.216;2076.216;2062.071
ABW;BMU;2263.787;2263.787;2275.432
ABW;BOL;3240.231;3560.684;3366.758
ABW;BRA;4759.608;3988.915;4431.571
ABW;BRB;1139.24;1139.24;1127.652
ABW;BRN;18008.87;18008.87;18042.75
ABW;BTN;15070.87;15070.87;15106.37
ABW;BWA;11196.28;11196.28;11178.83
ABW;CAF;9771.96;9771.96;9729.201
ABW;CAN;3573.887;3696.783;4316.013
ABW;CCK;18614.29;18614.29;.
ABW;CHE;8056.332;8056.332;8074.21
ABW;CHL;5125.68;5125.68;5093.852
ABW;CHN;14155.35;14155.35;14590.92
ABW;CIV;7293.883;7124.627;7194.496
ABW;CMR;9014.291;9014.291;8947.104
ABW;COG;9613.901;9613.901;9476.891
ABW;COK;10484.67;10484.67;10477.74
ABW;COL;1036.634;1036.634;929.5887
ABW;COM;12802.65;12802.65;12839
ABW;CPV;5036.386;5036.386;4961.886
ABW;CRI;1550.772;1550.772;1572.263
ABW;CUB;1754.738;1754.738;1485.848
ABW;CXR;19519.52;19519.52;.
ABW;CYM;1421.378;1421.378;1436.75
ABW;CYP;10403.22;10403.22;10398.7
ABW;CZE;8560.899;8560.899;8638.355
ABW;DEU;8034.389;8474.606;8231.708
ABW;DJI;12186.87;12186.87;12175.09
ABW;DMA;989.9883;989.9883;984.106
ABW;DNK;8408.59;8408.59;8331.917
ABW;DOM;663.0993;663.0993;699.2701
ABW;DZA;7686.407;7686.407;7710.017
ABW;ECU;1698.399;1698.399;1873.77
ABW;EGY;10383.61;10383.61;10362.27
ABW;ERI;11620.09;11620.09;11668.22
ABW;ESH;6124.013;6124.013;6084.671
ABW;ESP;7121.524;7121.524;7186.835
ABW;EST;9088.512;9088.512;9140.629
ABW;ETH;11817.33;11817.33;11800.59
ABW;FIN;9087.563;9087.563;9056.373
ABW;FJI;12692.41;12692.41;12718.24
ABW;FLK;7248.144;7248.144;7245.113
ABW;FRA;7685.884;7685.884;7716.752
ABW;FRO;7410.507;7410.507;7411.008
ABW;FSM;14263.71;14263.71;14778.64
ABW;GAB;8868.927;8868.927;8929.761
ABW;GBR;7541.243;7541.243;7480.796
ABW;GEO;11056.94;11056.94;10965.28
ABW;GHA;7697.944;7697.944;7620.656
ABW;GIB;6937.016;6937.016;6930.324
ABW;GIN;5940.813;5940.813;6247.763
ABW;GLP;980.5495;980.5495;999.6449
ABW;GMB;5785.502;5785.502;5805.39
ABW;GNB;5912.736;5912.736;5917.132
ABW;GNQ;8721.603;8721.603;8801.053
ABW;GRC;9491.157;9491.157;9457.37
ABW;GRD;911.348;911.348;902.1115
ABW;GRL;5921.006;5921.006;6174.272
ABW;GTM;2220.068;2220.068;2252.726
ABW;GUF;2128.791;2128.791;2061.801
ABW;GUY;1458.406;1458.406;1463.903
ABW;HKG;16131.13;16131.13;16132.21
ABW;HND;1863.05;1863.05;1921.08
ABW;HRV;8716.868;8716.868;8740.689
ABW;HTI;709.3878;709.3878;741.5887
ABW;HUN;8927.636;8927.636;8940.5
ABW;IDN;19240.39;19240.39;19054.85
ABW;IND;14258.17;14258.17;14750.66
ABW;IRL;7174.017;7174.017;7123.465
ABW;IRN;11880.18;11880.18;11939.98
ABW;IRQ;11426.34;11426.34;11443.27
ABW;ISL;6827.22;6827.22;6857.101
ABW;ISR;10635.04;10635.04;10642.42
ABW;ITA;8480.133;8480.133;8427.789
ABW;JAM;938.3511;938.3511;977.9513
ABW;JOR;10744.01;10744.01;10735.08
ABW;JPN;13815.84;13815.84;13944.01
ABW;KAZ;12977.21;12028.06;12272.97
ABW;KEN;11887.17;11887.17;11902.34
ABW;KGZ;12891.46;12891.46;12931.08
ABW;KHM;17292.0;17292.0;17255.06
ABW;KIR;12879.52;12879.52;12784.47
ABW;KNA;952.6719;952.6719;1383.822
ABW;KOR;14183.6;14183.6;14259.77
ABW;KWT;11922.28;11922.28;11920.19
ABW;LAO;16543.05;16543.05;16573.99
ABW;LBN;10635.64;10635.64;10634.9
ABW;LBR;6538.721;6538.721;6573.056
ABW;LBY;8638.483;8638.483;8900.735
ABW;LCA;1000.846;1000.846;989.2425
ABW;LKA;16067.56;16067.56;16049.5
ABW;LSO;11423.01;11423.01;11425.88
ABW;LTU;9223.909;9223.909;9122.045
ABW;LUX;7967.711;7967.711;7957.687
ABW;LVA;9100.948;9100.948;9111.286
ABW;MAC;16137.89;16137.89;.
ABW;MAR;6782.739;6782.739;6777.431
ABW;MDA;9662.548;9662.548;9653.517
ABW;MDG;13342.62;13342.62;13328.07
ABW;MDV;15595.96;15595.96;15591.33
ABW;MEX;3197.777;3197.777;3516.021
ABW;MHL;12908.49;12908.49;13034.27
ABW;MKD;9214.088;9214.088;9217.8
ABW;MLI;6729.114;6729.114;6799.604
ABW;MLT;8723.98;8723.98;8711.66
ABW;MMR;16436.57;16436.57;16303.36
ABW;MNG;13299.1;13299.1;13300.46
ABW;MNP;15020.25;15020.25;15045.63
ABW;MOZ;11878.69;11878.69;12049.38
ABW;MRT;5824.114;5824.114;5932.266
ABW;MSR;966.2597;966.2597;.
ABW;MTQ;1001.726;1001.726;998.6534
ABW;MUS;14395.81;14395.81;14382.7
ABW;MWI;11828.46;11828.46;11885.31
ABW;MYS;18066.89;18066.89;18042.02
ABW;NAM;10267.96;10267.96;10238.2
ABW;NCL;13964.53;13964.53;13994.37
ABW;NER;7796.389;7796.389;8090.482
ABW;NFK;13783.12;13783.12;13783.78
ABW;NGA;8081.917;8425.322;8276.091
ABW;NIC;1761.929;1761.929;1764.175
ABW;NIU;11484.71;11484.71;11492.94
ABW;NLD;7896.896;7896.896;7908.407
ABW;NOR;8301.125;8301.125;8240.808
ABW;NPL;14828.1;14828.1;14806.05
ABW;NRU;13604.61;13604.61;13620.23
ABW;NZL;12981.52;12981.52;13079.87
ABW;OMN;13155.52;13155.52;13071.64
ABW;PAK;13581.61;13581.61;13748.66
ABW;PAL;10625.24;10625.24;10642.14
ABW;PAN;1102.975;1102.975;1182.386
ABW;PCN;7735.013;7735.013;.
ABW;PER;2848.861;2848.861;2758.858
ABW;PHL;16773.43;16773.43;16868.52
ABW;PLW;16527.85;16527.85;16541.41
ABW;PNG;15957.22;15957.22;15932.05
ABW;POL;8990.023;8990.023;8884.097
ABW;PRI;781.5696;781.5696;764.2043
ABW;PRK;14063.87;14063.87;13996.79
ABW;PRT;6637.424;6637.424;6626.685
ABW;PRY;4418.076;4418.076;4436.56
ABW;PYF;9348.107;9348.107;9363.776
ABW;QAT;12436.23;12436.23;12418.49
ABW;REU;14183.83;14183.83;14168.52
ABW;ROM;9528.119;9528.119;9448.061
ABW;RUS;9942.475;9942.475;10523.27
ABW;RWA;11168.01;11168.01;11138.65
ABW;SAU;12028.87;12028.87;11731.11
ABW;SDN;10960.46;10960.46;10934.82
ABW;SEN;5688.13;5688.13;5733.223
ABW;SGP;18355.38;18355.38;18355.23
ABW;SHN;7763.898;7763.898;7507.777
ABW;SLB;14562.64;14562.64;14593.49
ABW;SLE;6222.756;6222.756;6281.981
ABW;SLV;2070.009;2070.009;2081.715
ABW;SMR;8461.912;8461.912;8454.992
ABW;SOM;12721.27;12721.27;12607.73
ABW;SPM;4015.755;4015.755;4035.539
ABW;STP;8580.347;8580.347;8558.069
ABW;SUR;1793.713;1793.713;1873.901
ABW;SVK;8778.741;8778.741;8902.049
ABW;SVN;8601.009;8601.009;8617.865
ABW;SWE;8715.387;8715.387;8587.528
ABW;SWZ;11739.21;11739.21;11750.85
ABW;SYC;13989.59;13989.59;13976.95
ABW;SYR;10720.53;10720.53;10724.01
ABW;TCA;998.4774;998.4774;1011.227
